"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0140014"	"GO:0140014"	"mitotic nuclear division"	"29/189"	"201/11248"	2.81307641890199e-19	8.47579925015171e-16	7.68414032321124e-16	"CDCA8/CDC20/KIF23/CENPE/MYBL2/NDC80/NCAPH/DLGAP5/UBE2C/NUSAP1/TPX2/TACC3/NEK2/UBE2S/MAD2L1/KIF18A/CDT1/KIF11/TTK/NCAPG/AURKB/CHEK1/TRIP13/PRC1/KIFC1/AURKA/CCNB1/KIF4A/BMP4"	29
"GO:0000280"	"GO:0000280"	"nuclear division"	"31/189"	"274/11248"	1.99647214134307e-17	3.00768528093334e-14	2.72676063515014e-14	"CDCA8/CDC20/KIF23/CENPE/MYBL2/NDC80/TOP2A/NCAPH/ASPM/DLGAP5/UBE2C/NUSAP1/TPX2/TACC3/NEK2/UBE2S/MAD2L1/KIF18A/CDT1/KIF11/TTK/NCAPG/AURKB/CHEK1/TRIP13/PRC1/KIFC1/AURKA/CCNB1/KIF4A/BMP4"	31
"GO:0048285"	"GO:0048285"	"organelle fission"	"32/189"	"303/11248"	4.4371029913927e-17	4.45633043768874e-14	4.04009903953125e-14	"CDCA8/CDC20/KIF23/CENPE/MYBL2/NDC80/TOP2A/NCAPH/ASPM/DLGAP5/UBE2C/NUSAP1/TPX2/TACC3/NEK2/UBE2S/MAD2L1/KIF18A/CDT1/KIF11/TTK/NCAPG/AURKB/CHEK1/TRIP13/PRC1/KIFC1/AURKA/CCNB1/KIF4A/BMP4/MAPT"	32
"GO:0000070"	"GO:0000070"	"mitotic sister chromatid segregation"	"21/189"	"109/11248"	7.4467191989641e-17	5.60924123661971e-14	5.08532534771364e-14	"CDCA8/CDC20/KIF23/CENPE/NDC80/NCAPH/DLGAP5/NUSAP1/TACC3/NEK2/MAD2L1/KIF18A/CDT1/TTK/NCAPG/AURKB/TRIP13/PRC1/KIFC1/CCNB1/KIF4A"	21
"GO:0051301"	"GO:0051301"	"cell division"	"37/189"	"442/11248"	2.62755276853635e-16	1.58336329832001e-13	1.4354735651267e-13	"CDCA8/CDC20/KIF23/CENPE/CCNB2/NDC80/TOP2A/NCAPH/E2F8/ASPM/CEP55/UBE2C/SKA1/NUSAP1/CDCA3/TPX2/TACC3/NEK2/UBE2S/CCNA2/CDK1/ERCC6L/MAD2L1/PAX6/CDT1/BIRC5/KIF11/NCAPG/AURKB/PRC1/KIFC1/KIF18B/KIF20A/AURKA/CCNB1/KIF4A/PTTG1"	37
"GO:0007059"	"GO:0007059"	"chromosome segregation"	"26/189"	"200/11248"	3.18138926924827e-16	1.5975876447075e-13	1.4483693252104e-13	"CDCA8/CDC20/KIF23/CENPE/NDC80/TOP2A/NCAPH/DLGAP5/HJURP/SKA1/NUSAP1/TACC3/NEK2/CENPN/MAD2L1/KIF18A/CDT1/BIRC5/TTK/NCAPG/AURKB/TRIP13/PRC1/KIFC1/CCNB1/KIF4A"	26
"GO:0000819"	"GO:0000819"	"sister chromatid segregation"	"21/189"	"125/11248"	1.38752546731208e-15	5.97230604715898e-13	5.41447907921028e-13	"CDCA8/CDC20/KIF23/CENPE/NDC80/NCAPH/DLGAP5/NUSAP1/TACC3/NEK2/MAD2L1/KIF18A/CDT1/TTK/NCAPG/AURKB/TRIP13/PRC1/KIFC1/CCNB1/KIF4A"	21
"GO:0098813"	"GO:0098813"	"nuclear chromosome segregation"	"21/189"	"159/11248"	1.97621063209499e-13	7.44290329312775e-11	6.74771919774539e-11	"CDCA8/CDC20/KIF23/CENPE/NDC80/NCAPH/DLGAP5/NUSAP1/TACC3/NEK2/MAD2L1/KIF18A/CDT1/TTK/NCAPG/AURKB/TRIP13/PRC1/KIFC1/CCNB1/KIF4A"	21
"GO:1902850"	"GO:1902850"	"microtubule cytoskeleton organization involved in mitosis"	"17/189"	"104/11248"	1.26282472511932e-12	4.2276565519828e-10	3.83278381483584e-10	"CDC20/KIF23/CENPE/MYBL2/NDC80/NUSAP1/TPX2/TACC3/MAD2L1/PAX6/KIF11/TTK/AURKB/PRC1/KIFC1/CCNB1/KIF4A"	17
"GO:0007088"	"GO:0007088"	"regulation of mitotic nuclear division"	"18/189"	"127/11248"	3.33874987314257e-12	1.00596533677786e-09	9.12005886400523e-10	"CDC20/CENPE/NDC80/DLGAP5/UBE2C/NUSAP1/TACC3/NEK2/MAD2L1/CDT1/KIF11/TTK/AURKB/CHEK1/TRIP13/AURKA/CCNB1/BMP4"	18
"GO:0007051"	"GO:0007051"	"spindle organization"	"17/189"	"124/11248"	2.36906355819464e-11	6.4890804553095e-09	5.8829855823111e-09	"CDC20/KIF23/CENPE/MYBL2/NDC80/ASPM/TPX2/TACC3/NEK2/KIF11/TTK/AURKB/PRC1/KIFC1/AURKA/CCNB1/KIF4A"	17
"GO:0051783"	"GO:0051783"	"regulation of nuclear division"	"18/189"	"144/11248"	2.92106442198651e-11	6.84360793092633e-09	6.20439938538397e-09	"CDC20/CENPE/NDC80/DLGAP5/UBE2C/NUSAP1/TACC3/NEK2/MAD2L1/CDT1/KIF11/TTK/AURKB/CHEK1/TRIP13/AURKA/CCNB1/BMP4"	18
"GO:0051304"	"GO:0051304"	"chromosome separation"	"12/189"	"51/11248"	3.19901262798668e-11	6.84360793092633e-09	6.20439938538397e-09	"CDC20/CENPE/NDC80/NCAPH/DLGAP5/TACC3/MAD2L1/CDT1/TTK/AURKB/TRIP13/CCNB1"	12
"GO:0007091"	"GO:0007091"	"metaphase/anaphase transition of mitotic cell cycle"	"11/189"	"40/11248"	3.40704012492183e-11	6.84360793092633e-09	6.20439938538397e-09	"CDC20/CENPE/NDC80/DLGAP5/TACC3/MAD2L1/CDT1/TTK/AURKB/TRIP13/CCNB1"	11
"GO:0010965"	"GO:0010965"	"regulation of mitotic sister chromatid separation"	"11/189"	"40/11248"	3.40704012492183e-11	6.84360793092633e-09	6.20439938538397e-09	"CDC20/CENPE/NDC80/DLGAP5/TACC3/MAD2L1/CDT1/TTK/AURKB/TRIP13/CCNB1"	11
"GO:0044784"	"GO:0044784"	"metaphase/anaphase transition of cell cycle"	"11/189"	"41/11248"	4.58872428522248e-11	7.78657413150426e-09	7.05929039818804e-09	"CDC20/CENPE/NDC80/DLGAP5/TACC3/MAD2L1/CDT1/TTK/AURKB/TRIP13/CCNB1"	11
"GO:0051306"	"GO:0051306"	"mitotic sister chromatid separation"	"11/189"	"41/11248"	4.58872428522248e-11	7.78657413150426e-09	7.05929039818804e-09	"CDC20/CENPE/NDC80/DLGAP5/TACC3/MAD2L1/CDT1/TTK/AURKB/TRIP13/CCNB1"	11
"GO:0000226"	"GO:0000226"	"microtubule cytoskeleton organization"	"27/189"	"357/11248"	4.65178673637825e-11	7.78657413150426e-09	7.05929039818804e-09	"CDC20/KIF23/CENPE/MYBL2/NDC80/ASPM/SKA1/NUSAP1/TPX2/TACC3/NEK2/CDK1/MAD2L1/PAX6/KIF18A/KIF11/TTK/AURKB/CHEK1/PRC1/KIFC1/KIF18B/KIF20A/AURKA/CCNB1/KIF4A/MAPT"	27
"GO:1905818"	"GO:1905818"	"regulation of chromosome separation"	"11/189"	"43/11248"	8.11339841563232e-11	1.28661418033159e-08	1.16644148967124e-08	"CDC20/CENPE/NDC80/DLGAP5/TACC3/MAD2L1/CDT1/TTK/AURKB/TRIP13/CCNB1"	11
"GO:0007052"	"GO:0007052"	"mitotic spindle organization"	"14/189"	"85/11248"	1.18181877499221e-10	1.78040998452577e-08	1.61411564268673e-08	"CDC20/KIF23/CENPE/MYBL2/NDC80/TPX2/TACC3/KIF11/TTK/AURKB/PRC1/KIFC1/CCNB1/KIF4A"	14
"GO:0030071"	"GO:0030071"	"regulation of mitotic metaphase/anaphase transition"	"10/189"	"37/11248"	3.32258753440764e-10	4.76712201960487e-08	4.32186198084603e-08	"CDC20/CENPE/NDC80/DLGAP5/MAD2L1/CDT1/TTK/AURKB/TRIP13/CCNB1"	10
"GO:0033047"	"GO:0033047"	"regulation of mitotic sister chromatid segregation"	"11/189"	"49/11248"	3.76470539686918e-10	5.15593516398492e-08	4.67435909324187e-08	"CDC20/CENPE/NDC80/DLGAP5/TACC3/MAD2L1/CDT1/TTK/AURKB/TRIP13/CCNB1"	11
"GO:1902099"	"GO:1902099"	"regulation of metaphase/anaphase transition of cell cycle"	"10/189"	"38/11248"	4.44401102173488e-10	5.82165443847269e-08	5.27789867341053e-08	"CDC20/CENPE/NDC80/DLGAP5/MAD2L1/CDT1/TTK/AURKB/TRIP13/CCNB1"	10
